,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190422_170306_model_4,0.8318686578957118,0.06558534682893319,0.3859270108002623,0.1178476584146226,0.013888070593809566
1,GBM_grid_1_AutoML_20190422_170306_model_5,0.8312161514496099,0.06560397054375597,0.3850911573642381,0.11785355367156054,0.013889460113015407
2,GBM_1_AutoML_20190422_170306,0.8285734428605774,0.06662756928172474,0.3984843736172369,0.11993078763337255,0.014383393822361106
3,GBM_2_AutoML_20190422_170306,0.8240366010761416,0.06569284707264114,0.370203997232343,0.11870531391917527,0.01409095155264995
4,GBM_grid_1_AutoML_20190422_170306_model_2,0.8239460901935111,0.07166717187524252,0.3318998712275024,0.11932232579729422,0.014237817433675625
5,GBM_grid_1_AutoML_20190422_170306_model_8,0.8193414192718389,0.06541872650883546,0.3517245292340642,0.11822877414290965,0.01397804303533514
6,StackedEnsemble_AllModels_AutoML_20190422_170306,0.819258566935862,0.06762123520108437,0.38832740331893056,0.11891966281219027,0.014141886203365027
7,GBM_3_AutoML_20190422_170306,0.8173487017371746,0.06687747137833974,0.3747969383032149,0.11940291191909724,0.014257055374759697
8,StackedEnsemble_BestOfFamily_AutoML_20190422_170306,0.8164201937169733,0.06758877709017727,0.37316180401682303,0.11885129603338652,0.01412563056881568
9,GBM_5_AutoML_20190422_170306,0.8160421675083893,0.06609847028486973,0.3772293826175851,0.1184648582424757,0.014033922638409864
10,GBM_grid_1_AutoML_20190422_170306_model_7,0.8156892433533972,0.0718628481280411,0.3286570904406764,0.12473199039712092,0.01555806942842747
11,GBM_grid_1_AutoML_20190422_170306_model_6,0.8148832202159076,0.06728404822714606,0.35460269923488696,0.11822438585258722,0.013977005410221423
12,GBM_4_AutoML_20190422_170306,0.807264150517722,0.06850648635580979,0.3785354932924356,0.12041170616854975,0.014498978982421163
13,GBM_grid_1_AutoML_20190422_170306_model_3,0.8067775561985623,0.06700685287737965,0.39493611536004863,0.11868670448236425,0.014086533820884062
14,GBM_grid_1_AutoML_20190422_170306_model_1,0.805643002155129,0.07512550200624174,0.4016464889894216,0.12714665790777002,0.016166272617115496
15,GBM_grid_1_AutoML_20190422_170306_model_10,0.8027269370430987,0.07440442433240617,0.35868581102790265,0.1198188350619164,0.014356553235594725
16,GLM_grid_1_AutoML_20190422_170306_model_1,0.7684816592415933,0.06715641304555864,0.4078054904795189,0.11846427798314164,0.014033785158067056
17,XRT_1_AutoML_20190422_170306,0.7668417448465111,0.09918058535652627,0.445578255107503,0.12126604571257428,0.01470545384276415
18,DeepLearning_grid_1_AutoML_20190422_170306_model_3,0.7642192544748863,0.0708770578838418,0.3519844357586498,0.11956485040929195,0.014295753453396362
19,DRF_1_AutoML_20190422_170306,0.7612934044025716,0.11285102200053193,0.4274257966785868,0.12192642554460865,0.014866053246084997
20,DeepLearning_grid_1_AutoML_20190422_170306_model_5,0.7582097070159877,0.07249470803834697,0.3926313423030993,0.12095863087195305,0.014630990382417391
21,DeepLearning_1_AutoML_20190422_170306,0.7525280248782789,0.07181951449911879,0.4177661219192567,0.11995833712152702,0.014390002644961928
22,DeepLearning_grid_1_AutoML_20190422_170306_model_6,0.7518132214279636,0.1802014033647204,0.4122942632143598,0.12098235736912395,0.014636730794590415
23,DeepLearning_grid_1_AutoML_20190422_170306_model_2,0.7196290002918719,0.08357486459462089,0.4113827578592464,0.11995909010338154,0.014390183298431218
24,DeepLearning_grid_1_AutoML_20190422_170306_model_1,0.7166916796874926,0.15792742569374688,0.4286867858934688,0.12097322526741358,0.014634521231600391
25,DeepLearning_grid_1_AutoML_20190422_170306_model_4,0.6678730865756517,0.11533200843858026,0.43569614538086,0.12061164661010307,0.014547169298000387
26,GBM_grid_1_AutoML_20190422_170306_model_9,0.5383377942206602,2.438158849314909,0.4626533133422792,0.2659864243775297,0.0707487779531433
